zpid,address,city,zipcode,homeStatus,price,pricePerFt,listingPrice,livingArea,lotSize,zestimate,bedrooms,datePosted,dateSold,stories,rentZestimate,propertyTaxRate,yearBuilt,link,latestEvent
25017384,38555 Overacker Ave,Fremont,94536,LIST_REMOVED,120892,47.73,13499900,2533,2.04 Acres,,4,,,,4323,1.24,1873,https://zillow.com//homedetails/38555-Overacker-Ave-Fremont-CA-94536/25017384_zpid/,2023-10-20 Listing removed None
25021196,661 Monticello Ter,Fremont,94539,FOR_SALE,8999000,640.86,8999000,14042,2.00 Acres,7972100,7,2023-04-25,,3,22374,1.24,2004,https://zillow.com//homedetails/661-Monticello-Ter-Fremont-CA-94539/25021196_zpid/,2023-04-14 Listed for sale 8999000
25030284,1851 Napa Ct,Fremont,94539,FOR_SALE,4288800,800.3,4288800,5359,0.40 Acres,3948200,6,2023-09-15,,2,11234,1.24,1988,https://zillow.com//homedetails/1851-Napa-Ct-Fremont-CA-94539/25030284_zpid/,2023-09-14 Listed for sale 4288800
25030331,1585 Vinehill Cir,Fremont,94539,FOR_SALE,3650000,761.85,3999000,4791,0.42 Acres,3449700,5,2023-09-07,,2,10454,1.24,1996,https://zillow.com//homedetails/1585-Vinehill-Cir-Fremont-CA-94539/25030331_zpid/,2023-10-21 Price change 3650000
25030909,45967 Hidden Valley Ter,Fremont,94539,FOR_SALE,3399000,1205.32,4299999,2820,1.15 Acres,3141400,4,2023-08-15,,1,9527,1.24,1996,https://zillow.com//homedetails/45967-Hidden-Valley-Ter-Fremont-CA-94539/25030909_zpid/,2023-10-13 Price change 3399000
25027674,46950 Zapotec Dr,Fremont,94539,FOR_SALE,3498000,775.27,3498000,4512,0.26 Acres,3200200,4,2023-06-09,,2,8985,1.24,1986,https://zillow.com//homedetails/46950-Zapotec-Dr-Fremont-CA-94539/25027674_zpid/,2023-06-09 Listed for sale 3498000
25034155,3248 Bruce Dr,Fremont,94539,FOR_SALE,2799000,1035.13,2899000,2704,"9,147 sqft",2734000,4,2023-09-15,,1,7750,1.24,1955,https://zillow.com//homedetails/3248-Bruce-Dr-Fremont-CA-94539/25034155_zpid/,2023-10-13 Price change 2799000
25005324,36311 San Pedro Dr,Fremont,94536,FOR_SALE,2880000,600.0,2600000,4800,0.34 Acres,,7,2022-07-14,,1,6002,1.24,1986,https://zillow.com//homedetails/36311-San-Pedro-Dr-Fremont-CA-94536/25005324_zpid/,2023-08-13 Price change 2880000
25023783,44164 Glendora Dr,Fremont,94539,FOR_SALE,2779000,1232.92,2779000,2254,"7,013 sqft",2626100,4,2023-09-15,,2,7277,1.24,1988,https://zillow.com//homedetails/44164-Glendora-Dr-Fremont-CA-94539/25023783_zpid/,2023-09-14 Listed for sale 2779000
25024218,191 W Hunter Ln,Fremont,94539,PENDING,2699000,1063.02,2699000,2539,"10,454 sqft",2687300,4,2023-09-26,,2,7190,1.24,1989,https://zillow.com//homedetails/191-W-Hunter-Ln-Fremont-CA-94539/25024218_zpid/,2023-10-17 Pending sale 2699000
