price,zestimate,livingArea,lotAreaValue,zpid,daysOnZillow,rentZestimate,bedrooms,propertyType,address,zipCode,city,pricePerFt
13499900,,2533,2.04,25017384,131,4740,4,SINGLE_FAMILY,"38555 Overacker Ave, Fremont, CA 94536",94536,Fremont,5329.61
8999000,7972300,14042,2.0012,25021196,-1,23215,7,SINGLE_FAMILY,"661 Monticello Ter, Fremont, CA 94539",94539,Fremont,640.86
4288800,4012600,5359,0.40367309458219,25030284,-1,10715,6,SINGLE_FAMILY,"1851 Napa Ct, Fremont, CA 94539",94539,Fremont,800.3
3999000,3809700,4791,0.42,25030331,24,10454,5,SINGLE_FAMILY,"1585 Vinehill Cir, Fremont, CA 94539",94539,Fremont,834.69
3999000,3692500,2820,1.1515,25030909,-1,11689,4,SINGLE_FAMILY,"45967 Hidden Valley Ter, Fremont, CA 94539",94539,Fremont,1418.09
3498000,3179600,4512,0.26207529843893,25027674,113,9197,4,SINGLE_FAMILY,"46950 Zapotec Dr, Fremont, CA 94539",94539,Fremont,775.27
2899000,3060400,2704,9147.6,25034155,-1,6613,4,SINGLE_FAMILY,"3248 Bruce Dr, Fremont, CA 94539",94539,Fremont,1072.12
2880000,,4800,0.34,25005324,444,5928,7,SINGLE_FAMILY,"36311 San Pedro Dr, Fremont, CA 94536",94536,Fremont,600.0
2779000,2649400,2254,7013,25023783,16,5799,4,SINGLE_FAMILY,"44164 Glendora Dr, Fremont, CA 94539",94539,Fremont,1232.92
2699000,2852500,2539,10454.4,25024218,5,6721,4,SINGLE_FAMILY,"191 W Hunter Ln, Fremont, CA 94539",94539,Fremont,1063.02
2250000,2157600,2107,6300,25032847,-1,5272,4,SINGLE_FAMILY,"41461 Denise St, Fremont, CA 94539",94539,Fremont,1067.87
1899950,,1671,8276.4,25008716,-1,,3,SINGLE_FAMILY,"5369 Keystone Dr, Fremont, CA 94536",94536,Fremont,1137.01
1899900,1853500,2483,6969.6,25009127,-1,5569,5,SINGLE_FAMILY,"38182 Hamlin St, Fremont, CA 94536",94536,Fremont,765.16
1888000,1837900,1617,6969.6,25028822,-1,4250,4,SINGLE_FAMILY,"44573 Japala Pl, Fremont, CA 94539",94539,Fremont,1167.59
1879888,1973700,1980,7405.2,25013773,17,4200,4,SINGLE_FAMILY,"3094 Dickens Ct, Fremont, CA 94536",94536,Fremont,949.44
1875000,1826400,2247,1306.8,122160079,-1,4900,4,SINGLE_FAMILY,"392 Farley Cmn, Fremont, CA 94539",94539,Fremont,834.45
1799800,,1919,6969.6,25026130,-1,,4,SINGLE_FAMILY,"48373 Conifer St, Fremont, CA 94539",94539,Fremont,937.88
1799000,1894000,2281,10454.4,25016001,-1,4550,3,SINGLE_FAMILY,"634 Cuenca Way, Fremont, CA 94536",94536,Fremont,788.69
1799000,1929400,2196,4356,52975825,-1,4600,4,SINGLE_FAMILY,"35181 Mount Whitney Ter, Fremont, CA 94536",94536,Fremont,819.22
1788800,1792300,1583,5662.8,25031936,-1,3934,4,SINGLE_FAMILY,"40991 Valero Dr, Fremont, CA 94539",94539,Fremont,1130.01
1699999,1874100,1749,10018.8,25033599,-1,5446,3,SINGLE_FAMILY,"41102 Saint Anthony Dr, Fremont, CA 94539",94539,Fremont,971.98
1695000,1827600,2147,6534,25012357,2,4470,4,SINGLE_FAMILY,"2032 Country Dr, Fremont, CA 94536",94536,Fremont,789.47
1650000,1780000,1781,10018.8,25007749,-1,4164,3,SINGLE_FAMILY,"4559 Northdale Dr, Fremont, CA 94536",94536,Fremont,926.45
1650000,,2140,0.33005050505051,94686784,-1,,4,SINGLE_FAMILY,"4106 Coriander Ter, Fremont, CA 94538",94538,Fremont,771.03
1639000,,2191,0,2055244002,-1,,4,SINGLE_FAMILY,"37373 Viceroy Cmn, Fremont, CA 94536",94536,Fremont,748.06
1599999,1702200,1911,6647,94687040,-1,4435,4,SINGLE_FAMILY,"575 Ginkgo Ter, Fremont, CA 94539",94539,Fremont,837.26
1599000,1655500,1676,6534,25011527,-1,4095,4,SINGLE_FAMILY,"3230 Dollinger Ct, Fremont, CA 94536",94536,Fremont,954.06
1580000,1605500,1724,6098.4,25017171,-1,4069,4,SINGLE_FAMILY,"1035 Barry Way, Fremont, CA 94536",94536,Fremont,916.47
1550000,1520600,1563,5227.2,25020116,-1,3980,4,SINGLE_FAMILY,"38887 Stillwater Cmn, Fremont, CA 94536",94536,Fremont,991.68
1525000,1604500,1785,1655.28,111037522,-1,3999,3,SINGLE_FAMILY,"49042 Feather Grass Ter, Fremont, CA 94539",94539,Fremont,854.34
1499888,1631700,1580,6098.4,25004347,-1,3785,3,SINGLE_FAMILY,"4531 Portola Dr, Fremont, CA 94536",94536,Fremont,949.3
1499000,1451800,1452,0.27,25037952,-1,3800,3,SINGLE_FAMILY,"4711 Robin Ct, Fremont, CA 94538",94538,Fremont,1032.37
1490000,1611700,1629,3484.8,25048591,6,3962,4,SINGLE_FAMILY,"33193 Lake Garrison St, Fremont, CA 94555",94555,Fremont,914.67
1398000,1457600,2093,2178,116150494,-1,4099,4,SINGLE_FAMILY,"2800 Pinnacles Ter, Fremont, CA 94538",94538,Fremont,667.94
1375000,1501700,1178,6098.4,25005119,-1,3599,3,SINGLE_FAMILY,"4522 San Juan Ave, Fremont, CA 94536",94536,Fremont,1167.23
1350000,1439800,1558,7405.2,25049613,-1,3800,3,SINGLE_FAMILY,"4629 Diaz Dr, Fremont, CA 94536",94536,Fremont,866.5
1299000,1388000,1450,7405.2,25005027,-1,3634,3,SINGLE_FAMILY,"36171 San Pedro Dr, Fremont, CA 94536",94536,Fremont,895.86
1299000,1377500,1373,3049.2,25055049,-1,3599,3,SINGLE_FAMILY,"34478 Benedick Ln, Fremont, CA 94555",94555,Fremont,946.1
1295000,1240800,1546,3472,25008825,-1,3800,3,SINGLE_FAMILY,"37748 Carriage Circle Cmn, Fremont, CA 94536",94536,Fremont,837.65
1275000,1390300,1126,5227.2,25041452,-1,3463,3,SINGLE_FAMILY,"43177 Continental Dr, Fremont, CA 94538",94538,Fremont,1132.33
1265000,1369400,1450,5227.2,25035039,16,3921,3,SINGLE_FAMILY,"3770 Union St, Fremont, CA 94538",94538,Fremont,872.41
1249999,1356200,1148,5759.9824,25044763,-1,3364,3,SINGLE_FAMILY,"4841 Stevenson Blvd, Fremont, CA 94538",94538,Fremont,1088.85
1199999,1170600,1014,7888,25018616,51,3106,3,SINGLE_FAMILY,"1259 Filton Ct, Fremont, CA 94536",94536,Fremont,1183.43
1088888,1092900,950,5300,25038216,-1,3406,3,SINGLE_FAMILY,"4456 Gina St, Fremont, CA 94538",94538,Fremont,1146.2
999998,1050900,950,5000,25036640,105,3298,3,SINGLE_FAMILY,"4159 Bullard St, Fremont, CA 94538",94538,Fremont,1052.63
980000,990300,1074,5225,25005533,-1,3092,3,SINGLE_FAMILY,"36731 Cabrillo Dr, Fremont, CA 94536",94536,Fremont,912.48
950000,919900,1236,3047,25020054,-1,3399,3,SINGLE_FAMILY,"37823 Essanay Pl, Fremont, CA 94536",94536,Fremont,768.61
2100000,2020200,2068,3484.8,318984722,116,5351,4,SINGLE_FAMILY,"6769 Tule Elk Way, Newark, CA 94560",94560,Newark,1015.47
1898000,2013300,2047,7405.2,24930551,-1,4300,3,SINGLE_FAMILY,"8220 Tanforan Ct, Newark, CA 94560",94560,Newark,927.21
1898000,1905900,2574,4388.67,2056539093,-1,5200,5,SINGLE_FAMILY,"6851 Baine Ave, Newark, CA 94560",94560,Newark,737.37
1898000,,2570,,2063284356,-1,5319,5,SINGLE_FAMILY,"Lot 9 Plan, Magnolia Homes",,Newark,738.52
1840000,,2171,,2062752578,-1,4600,4,SINGLE_FAMILY,"Lot 3 Plan, Magnolia Homes",,Newark,847.54
