price,zestimate,livingArea,lotAreaValue,zpid,rentZestimate,bedrooms,propertyType,address,zipcode,city,dateSold,pricePerFt
1100000,1138700,1246,7405.2,25004356,3599,3,SINGLE_FAMILY,"36471 Feliz Ct, Fremont, CA 94536",94536,Fremont,2023-04-11,882.83
1100000,1139100,1163,6176.808,25005594,3599,3,SINGLE_FAMILY,"36841 Bonito Dr, Fremont, CA 94536",94536,Fremont,2022-10-19,945.83
1100000,1203500,1080,6229,25005921,3528,4,SINGLE_FAMILY,"5070 Garden Way, Fremont, CA 94536",94536,Fremont,2021-08-27,1018.52
1100000,1459100,1200,5357,25006656,3800,3,SINGLE_FAMILY,"37438 Briarwood Dr, Fremont, CA 94536",94536,Fremont,2021-03-25,916.67
1100000,1136400,1175,5538,25007050,3499,3,SINGLE_FAMILY,"4706 Central Ave, Fremont, CA 94536",94536,Fremont,2023-04-26,936.17
1100000,1137500,1252,6098.4,25009609,3614,4,SINGLE_FAMILY,"4402 Sacramento Ave, Fremont, CA 94538",94538,Fremont,2022-10-11,878.59
1100000,1353800,1961,6286,25009792,4400,5,SINGLE_FAMILY,"4620 Mowry Ave, Fremont, CA 94538",94538,Fremont,2021-07-02,560.94
1100000,1547900,1683,7797,25016331,4099,4,SINGLE_FAMILY,"36720 Niles Blvd, Fremont, CA 94536",94536,Fremont,2021-02-25,653.59
1100000,1107500,1200,5662.8,25017390,3499,3,SINGLE_FAMILY,"246 Mowry Ave, Fremont, CA 94536",94536,Fremont,2023-09-07,916.67
1100000,1116800,950,5227.2,25035277,3329,3,SINGLE_FAMILY,"40452 Citrus Dr, Fremont, CA 94538",94538,Fremont,2021-11-10,1157.89
1100000,1143300,950,8450,25035583,3329,3,SINGLE_FAMILY,"40461 Ditmus Ct, Fremont, CA 94538",94538,Fremont,2022-12-20,1157.89
1100000,1126500,950,6534,25035896,3295,3,SINGLE_FAMILY,"3373 Mission View Dr, Fremont, CA 94538",94538,Fremont,2021-11-05,1157.89
1100000,1142400,1107,6098.4,25036389,3419,3,SINGLE_FAMILY,"4353 Margery Dr, Fremont, CA 94538",94538,Fremont,2022-11-08,993.68
1100000,1360700,1302,6534,25036412,3815,4,SINGLE_FAMILY,"4414 Stevenson Blvd, Fremont, CA 94538",94538,Fremont,2021-11-29,844.85
1100000,1120500,1036,6000,25036544,3534,3,SINGLE_FAMILY,"4235 Blewett St, Fremont, CA 94538",94538,Fremont,2023-07-13,1061.78
1100000,1137500,1201,5227.2,25038158,3358,3,SINGLE_FAMILY,"4328 Cahill St, Fremont, CA 94538",94538,Fremont,2022-10-11,915.9
1100000,1458100,1342,5320,25039171,3699,4,SINGLE_FAMILY,"4136 Doane St, Fremont, CA 94538",94538,Fremont,2021-04-12,819.67
1100000,1110800,1296,5662,25039795,3800,3,SINGLE_FAMILY,"4929 Hyde Park Dr, Fremont, CA 94538",94538,Fremont,2023-08-24,848.77
1100000,1369200,1285,5662.8,25039806,3699,3,SINGLE_FAMILY,"4873 Seneca Park Ave, Fremont, CA 94538",94538,Fremont,2022-09-26,856.03
1100000,1340300,1234,6840,25041455,3586,3,SINGLE_FAMILY,"3460 Newport Cmn, Fremont, CA 94538",94538,Fremont,2021-10-14,891.41
1100000,1396900,1238,7623,25043334,3625,3,SINGLE_FAMILY,"38528 Farwell Dr, Fremont, CA 94536",94536,Fremont,2021-05-19,888.53
1100000,1288200,1249,6176,25044052,3599,3,SINGLE_FAMILY,"5002 Royal Palm Dr, Fremont, CA 94538",94538,Fremont,2021-05-04,880.7
1100000,1143500,1067,6098.4,25044249,3499,3,SINGLE_FAMILY,"39471 Blue Fin Way, Fremont, CA 94538",94538,Fremont,2022-12-22,1030.93
1100000,1311200,1148,7979,25044708,3384,3,SINGLE_FAMILY,"4610 Ridpath St, Fremont, CA 94538",94538,Fremont,2021-03-26,958.19
1100000,1369700,1324,6804,25045697,3734,4,SINGLE_FAMILY,"5402 Borgia Rd, Fremont, CA 94538",94538,Fremont,2021-08-16,830.82
1100000,1238400,1117,4865,25046072,3399,3,SINGLE_FAMILY,"40391 Torenia Cir, Fremont, CA 94538",94538,Fremont,2021-02-05,984.78
1100000,1720000,1688,5967,25047015,3814,3,SINGLE_FAMILY,"3527 Wyndham Dr, Fremont, CA 94536",94536,Fremont,2021-02-05,651.66
1100000,1151800,1246,4704,25049231,3599,3,SINGLE_FAMILY,"3882 Jacana Lake Ct, Fremont, CA 94555",94555,Fremont,2022-02-15,882.83
1100000,1142200,1148,5662.8,25049378,3499,3,SINGLE_FAMILY,"36001 Cabrillo Dr, Fremont, CA 94536",94536,Fremont,2022-12-08,958.19
1100000,1073700,1154,5227.2,25049529,3599,3,SINGLE_FAMILY,"36090 Pizarro Dr, Fremont, CA 94536",94536,Fremont,2023-06-21,953.21
1099000,1267500,1181,8537,25035566,3534,3,SINGLE_FAMILY,"3066 Cadman Rd, Fremont, CA 94538",94538,Fremont,2021-06-28,930.57
1098000,1360500,1620,5700,25044091,3834,3,SINGLE_FAMILY,"5079 Royal Palm Dr, Fremont, CA 94538",94538,Fremont,2020-11-02,677.78
1098000,1405100,1607,2700,25055826,3834,3,SINGLE_FAMILY,"4916 Creekwood Dr, Fremont, CA 94555",94555,Fremont,2020-10-20,683.26
1092000,1298100,1225,5000,25041463,3399,3,SINGLE_FAMILY,"3739 Howe Ct, Fremont, CA 94538",94538,Fremont,2021-03-17,891.43
1091500,1207900,1644,1500,116150993,3796,3,SINGLE_FAMILY,"2510 Tassajara Ter, Fremont, CA 94538",94538,Fremont,2021-09-17,663.93
1090000,1313200,1154,6098,25005263,3599,3,SINGLE_FAMILY,"4784 Cortez Ave, Fremont, CA 94536",94536,Fremont,2021-03-24,944.54
1090000,1130000,1208,7056,25005537,3599,3,SINGLE_FAMILY,"4725 Balboa Way, Fremont, CA 94536",94536,Fremont,2023-03-31,902.32
1090000,1289900,1079,5793,25006856,3099,3,SINGLE_FAMILY,"37647 Teakwood Dr, Fremont, CA 94536",94536,Fremont,2021-10-12,1010.19
1090000,1272900,1008,6098.4,25035182,3499,3,SINGLE_FAMILY,"4176 Bay St, Fremont, CA 94538",94538,Fremont,2021-10-27,1081.35
1090000,1167200,950,5967,25035821,3200,3,SINGLE_FAMILY,"3837 Detjen St, Fremont, CA 94538",94538,Fremont,2021-03-29,1147.37
1090000,1365400,1241,5488,25052430,3689,3,SINGLE_FAMILY,"4349 Jessica Cir, Fremont, CA 94555",94555,Fremont,2021-04-07,878.32
1088000,1322700,1620,6018,25043842,3800,4,SINGLE_FAMILY,"39340 Blacow Rd, Fremont, CA 94538",94538,Fremont,2021-01-05,671.6
1087300,,3000,,2124437865,5600,3,SINGLE_FAMILY,"40641 Grimmer Blvd, Fremont, CA 94538",94538,Fremont,2021-02-26,362.43
1085000,1426900,1497,10680,25011280,3914,5,SINGLE_FAMILY,"3235 Greenwood Dr, Fremont, CA 94536",94536,Fremont,2021-03-04,724.78
1084000,1458400,1320,9326,25009015,3781,3,SINGLE_FAMILY,"37843 Granville Dr, Fremont, CA 94536",94536,Fremont,2020-10-21,821.21
1081000,1377300,1445,5700,25039773,3800,3,SINGLE_FAMILY,"4951 Yellowstone Park Dr, Fremont, CA 94538",94538,Fremont,2020-11-12,748.1
1081000,1220000,1148,3952,25048758,3399,3,SINGLE_FAMILY,"33069 Lake Wawasee St, Fremont, CA 94555",94555,Fremont,2021-02-22,941.64
1080000,1066100,1147,6534,25005524,3126,3,SINGLE_FAMILY,"36509 Cabrillo Dr, Fremont, CA 94536",94536,Fremont,2022-06-17,941.59
1080000,1124100,1689,0.28,25015671,3984,3,SINGLE_FAMILY,"35864 Linda Dr, Fremont, CA 94536",94536,Fremont,2023-01-27,639.43
1080000,1123200,1440,6098.4,25017854,3682,4,SINGLE_FAMILY,"38371 Canyon Heights Dr, Fremont, CA 94536",94536,Fremont,2022-11-23,750.0
1080000,1285900,1200,6840,25040981,3399,3,SINGLE_FAMILY,"42891 Hamilton Way, Fremont, CA 94538",94538,Fremont,2020-11-03,900.0
